Timestamp,Cumulative Processor Energy(Joules),CPU Utilization(%),CPU Frequency(MHz),Processor Power(Watt)
1.0014948844909668,4.144581,0.0,646.7666875,4.144581
2.0060923099517822,3.36901,3.6,476.422875,3.36901
3.010936975479126,3.94518,5.2,440.496,3.94518
4.017593145370483,3.836233,3.1,446.4533125,3.836233
5.021974086761475,2.101801,1.8,527.2705625,2.101801
